student_id,title,math,adv_math_elec,chem,phys,bio,ss,ee,elec_sci,cs,elec_hum,wl,as,en400
38128139,Trimester 1,0,1,0,0,0,1,1,0,0,0,0,0,1
38128151,Trimester 1,0,1,1,0,0,0,1,0,1,0,0,0,0
38128154,Trimester 1,0,0,1,0,2,0,1,0,1,0,0,0,0
38128178,Trimester 1,0,1,0,0,0,0,0,0,1,0,0,0,2
38128212,Trimester 1,0,1,1,0,1,0,0,0,0,0,0,0,0
38128222,Trimester 1,0,1,0,0,1,1,0,1,0,0,0,0,1
38128263,Trimester 1,0,1,1,0,0,0,0,0,0,0,1,0,1
38128330,Trimester 1,0,1,0,1,0,0,0,1,0,0,0,0,2
38128388,Trimester 1,0,1,1,0,0,0,0,0,1,0,1,0,0
38128430,Trimester 1,0,1,0,0,0,0,0,0,0,0,1,0,1
38128440,Trimester 1,0,1,1,0,0,0,1,1,0,0,0,0,1
38128444,Trimester 1,0,2,0,0,0,0,0,2,0,0,0,0,0
38128448,Trimester 1,0,1,0,0,0,0,0,0,0,0,1,0,0
38128488,Trimester 1,0,2,0,0,0,0,0,0,1,0,0,0,0
38128508,Trimester 1,0,1,0,0,1,0,0,0,0,0,0,0,2
38128529,Trimester 1,0,1,1,0,0,1,0,0,0,0,1,0,0
38128546,Trimester 1,0,1,0,0,1,0,0,0,0,0,0,0,2
38128558,Trimester 1,0,1,0,0,0,0,1,0,1,0,0,0,1
38128739,Trimester 1,0,1,1,0,1,0,0,0,0,0,0,0,0
38128795,Trimester 1,0,1,0,0,1,0,0,0,1,0,0,0,1
38128831,Trimester 1,0,1,0,0,1,0,0,2,0,0,0,0,0
38128860,Trimester 1,0,2,1,0,1,0,0,0,0,0,0,0,0
38128870,Trimester 1,0,0,1,0,2,0,1,0,0,0,0,0,1
38128881,Trimester 1,0,1,0,0,0,0,0,1,0,0,1,0,1
38128895,Trimester 1,0,2,1,0,0,0,0,0,0,0,1,0,1
38128958,Trimester 1,0,2,1,0,0,0,0,0,0,0,0,0,1
38128976,Trimester 1,0,1,0,0,0,0,0,0,0,0,0,0,1
38129002,Trimester 1,0,1,0,0,1,0,0,0,0,1,0,0,1
38129048,Trimester 1,0,1,0,0,3,0,0,0,0,0,0,0,0
38129093,Trimester 1,0,1,0,1,1,0,0,0,0,0,1,0,1
38129139,Trimester 1,0,1,0,0,0,0,0,0,1,1,0,0,1
38129143,Trimester 1,0,1,1,0,0,0,1,0,0,1,1,0,0
38129144,Trimester 1,0,1,1,0,0,0,0,0,0,0,1,0,1
38129161,Trimester 1,0,1,1,0,1,0,0,0,0,0,1,0,1
38129422,Trimester 1,0,1,1,0,0,0,0,0,0,0,0,0,1
