student_id,title,math,adv_math_elec,chem,phys,bio,ee,elec_sci,cs,elec_hum,wl,as,en400,ss,as_ss,cs_ee_ss
11841310,Trimester 1,0,1,0,1,0,0,0,1,0,1,0,1,,,
11841338,Trimester 1,0,1,1,1,1,0,0,0,0,0,0,1,,,
11841352,Trimester 1,0,1,0,1,0,0,1,0,0,0,0,1,,,
11841362,Trimester 1,0,1,0,0,1,0,0,1,0,1,0,1,,,
11841383,Trimester 1,0,1,0,0,1,0,0,0,0,1,0,1,,,
11841400,Trimester 1,0,1,0,1,1,0,0,0,0,0,0,1,,,
11841402,Trimester 1,0,2,0,1,1,0,0,0,0,1,0,1,,,
11841418,Trimester 1,0,1,0,1,0,0,0,1,0,0,0,1,,,
11841419,Trimester 1,0,2,0,0,1,0,1,0,0,0,0,0,,,
11842066,Trimester 1,0,1,0,1,1,0,0,0,0,0,0,1,,,
11842722,Trimester 1,0,1,1,0,0,0,0,0,0,1,0,1,,,
11842781,Trimester 1,0,1,0,1,1,0,0,0,0,1,0,0,,,
11842867,Trimester 1,0,1,0,1,2,0,0,0,0,0,0,1,,,
11842882,Trimester 1,0,1,1,0,1,0,1,0,0,0,0,1,,,
11842943,Trimester 1,0,1,1,0,0,0,0,0,0,1,0,1,,,
11842956,Trimester 1,1,2,0,0,0,0,1,0,0,0,0,1,0,,
11842962,Trimester 1,0,1,0,1,0,0,0,0,0,1,0,1,,,
11843048,Trimester 1,0,1,0,0,0,0,1,1,0,0,0,1,,,
11843084,Trimester 1,0,1,1,0,1,1,0,0,0,0,0,1,,,
11843946,Trimester 1,0,1,0,1,0,0,0,1,0,1,0,1,,,
11844158,Trimester 1,0,1,1,0,0,2,0,0,0,0,0,1,,,
11844261,Trimester 1,0,2,1,0,1,0,0,0,1,1,0,0,,,
11844473,Trimester 1,0,2,0,1,0,0,0,0,0,1,0,1,,,
11844509,Trimester 1,0,1,1,0,0,1,0,0,0,1,0,1,,,
11844530,Trimester 1,0,1,0,1,0,2,0,1,0,0,0,0,,,
11844554,Trimester 1,0,1,0,1,1,0,0,0,0,0,0,2,,,
11844594,Trimester 1,0,1,1,0,0,0,0,0,0,1,0,1,,,
11844609,Trimester 1,0,1,0,1,0,0,0,1,0,1,0,1,,,
11844642,Trimester 1,0,1,1,0,0,0,0,0,0,1,0,2,,,
11844679,Trimester 1,0,1,0,1,2,0,1,0,0,0,0,0,,,
11844685,Trimester 1,0,1,0,0,1,0,0,1,0,0,0,1,,,
11844732,Trimester 1,0,1,0,1,0,1,0,0,0,1,0,0,,,
11844751,Trimester 1,1,0,0,1,0,0,0,0,0,1,0,1,0,,
11844769,Trimester 1,0,1,0,1,1,0,0,0,0,1,0,1,,,
11844794,Trimester 1,0,1,1,0,0,0,0,0,0,1,0,1,,,
11844855,Trimester 1,0,1,0,1,1,0,0,0,0,0,0,1,,,
11845349,Trimester 1,0,1,1,0,0,0,0,0,0,1,0,2,,,
11845724,Trimester 1,0,1,0,0,1,0,0,1,0,0,0,1,,,
11845726,Trimester 1,0,1,1,0,0,0,0,1,1,0,0,1,,,
11845802,Trimester 1,0,1,1,0,0,1,0,0,0,1,0,0,,,
11845944,Trimester 1,0,1,0,0,0,1,1,0,0,1,0,1,,,
11845958,Trimester 1,0,1,1,0,1,1,0,1,0,0,0,0,,,
11845959,Trimester 1,0,1,1,0,0,0,0,0,0,1,0,1,,,
11845991,Trimester 1,0,1,1,0,0,1,0,1,0,0,0,1,,,
11846012,Trimester 1,0,1,0,0,1,0,1,1,0,1,0,0,,,
11846018,Trimester 1,0,1,0,1,0,0,2,0,0,0,0,0,,,
11846038,Trimester 1,0,1,0,0,0,0,2,0,0,1,0,0,,,
11846057,Trimester 1,0,1,0,1,1,0,0,0,0,0,0,1,,,
